gene	coi1	dde2	jar1	jin1	ein2-1	ein3	npr1-1	sid2-2
At1g03220	0.007848596	-0.420795781	-0.855894114	-0.159538114	-0.226615671	-0.40201479	-0.93240059	-1.548809916
At1g03850	1.023734512	0.167081701	-0.638209299	0.418686367	0.104967477	0.031877468	-1.483824532	-2.291355951
At1g15670	-1.636644402	-0.779642824	-0.557062824	-0.228660158	-0.681933786	-0.365893677	-0.328644077	0.200675994
At1g19250	-0.497517745	-0.195210425	-0.794765092	-0.302005425	-0.028870571	-0.359339497	-0.420265697	-0.630944215
At1g19670	-5.664051631	0.388188339	0.468390006	-0.517482327	-0.252131324	0.324183113	1.736065913	0.595430944
At1g26380	0.831947048	-0.693437862	-1.111640862	-0.139306196	-0.267734131	-0.958985207	-1.530983007	-1.714169402
At1g33960	-0.051548129	-0.52995892	0.262204413	-0.111863587	0.974605571	-0.201659896	-0.553530496	-0.498310809
At1g43160	-4.566242158	-1.275760042	0.261689958	-0.354256375	-0.497477378	-0.328597405	-0.100890605	-0.46221633
At1g54010	-1.302450038	0.20484631	0.083293977	-0.082368357	0.426467	0.314773613	0.334417213	0.087400621
At1g67360	0.171903298	-0.374068838	-0.264027171	0.056822495	0.02542072	-0.063825059	0.025060141	0.363406462
At1g72610	1.265829958	-0.325667032	0.870464968	0.136346968	0.426289212	0.632700508	1.083063508	0.903991474
At1g74710	-0.13940073	-0.077954999	-0.684678332	-0.289392332	0.18489579	-0.115516663	0.560549337	-6.008526912
At1g75040	0.33340717	-0.101738167	0.068048167	0.407316833	1.021168344	0.413473558	-0.533320442	-0.734038858
At1g80460	1.286118307	0.260169187	0.19185852	0.030851187	0.064272944	0.131124139	-0.271890261	-0.342176139
At2g02930	-0.265966702	-0.555263844	-0.914319844	0.263927156	-1.027751251	-0.789375867	-1.172166067	-1.169747817
At2g14560	1.549143695	0.357108881	1.040020214	0.917082547	-0.038632804	0.375569926	-2.945360674	-3.585395337
At2g14610	1.697397499	0.104942481	0.239969481	0.484528814	0.074665056	-0.344732285	-3.988188285	-5.391513951
At2g14620	1.835849063	-0.288498726	-0.556264393	-0.458932059	0.173515515	-0.608731379	-2.540528779	-3.553846236
At2g18660	1.480899706	-0.016259682	-0.082766015	0.075407318	0.094870988	0.009788623	-0.574455777	0.011629259
At2g19190	1.740606373	-0.179832443	-0.181850776	-0.496098776	-0.019523112	-0.296227289	-1.332061089	-1.23226848
At2g22330	-2.309538569	0.049584502	-0.013831498	0.035622502	-0.492195793	-0.212483388	0.210778212	-0.154019838
At2g28210	-1.136301514	-0.939288716	-0.878539716	-0.069879049	-0.273227607	-0.691003054	-0.846643454	-1.018771638
At2g29980	0.458873493	0.348044852	1.039475519	0.149229186	0.227370382	0.310076221	0.957252821	0.662901121
At2g30490	0.686171361	-0.198144612	0.142878721	0.366390054	0.408373727	-0.136815981	-0.684034781	-1.377882099
At2g30770	-0.50959778	-1.425630966	-1.323453966	-0.538016632	-0.018366789	-0.770168334	-2.155641734	-2.741476724
At2g33380	-2.354241358	-0.635239228	-0.016461895	-0.722840895	0.883721181	0.282528979	1.302131379	0.357932108
At2g34810	-2.234641776	-0.437543195	0.066171472	-0.346850861	0.126608785	-0.040884034	0.271079366	-0.80149983
At2g40000	0.201266417	-1.053600063	-1.145920396	-0.07097473	0.059788988	-0.756499155	-2.318245355	-2.117168825
At2g40750	0.396472795	-0.303397433	-0.142628433	-0.130464766	-0.306888074	-0.233638349	-2.338932749	-2.30012264
At2g43570	0.474867808	-0.457412527	-0.690006194	-0.248335527	1.096457783	-0.119048767	-0.863809167	-1.552128277
At2g44490	0.598721138	-0.159825228	-0.147778895	-0.010249228	0.060259206	-0.168566601	-0.663742401	-1.135903884
At2g46650	-2.928897753	-0.147481201	-0.065417867	0.264699133	-0.216708055	0.201418221	0.077251421	-0.52607666
At3g11340	-0.244622214	0.052388226	0.648794893	0.633385559	0.070439658	0.056425018	-2.240048782	-3.16273104
At3g16770	-0.536315014	-0.116955189	0.212073811	0.250646144	-1.117623501	-0.199051423	0.721976977	0.40095068
At3g22370	0.429447253	-0.503997455	-0.596065455	-0.147507455	0.247954726	-0.30786245	-0.51593925	-0.737242494
At3g28510	1.513523528	-0.976894095	0.197470905	-0.600859428	0.326257547	-0.32060492	-2.63910112	-2.97168765
At3g28540	0.847984436	-0.715959022	0.094949311	-0.826764689	0.621932827	0.052391129	-1.147224871	-1.110289192
At3g48070	-1.283304267	-0.337081742	-0.699209409	-0.443307409	-0.05764066	-0.232046688	-0.212081088	0.789919305
At3g52430	0.063396458	0.207459879	0.113316546	0.108074546	0.246917809	0.113691735	-0.098050465	0.298090002
At3g57260	0.689456812	-0.151631281	-0.050295614	-0.430959948	1.408822174	0.256821357	-1.469564843	-1.94271292
At4g03550	0.527294575	-0.050222735	-0.249058735	-0.271055068	-0.105286885	-0.10074042	-0.50286742	-0.352527176
At4g08870	-4.153140169	0.638111601	0.433013601	-0.375061065	0.245187857	0.529771685	2.013565085	1.481836554
At4g12470	0.479843775	0.250146021	0.158535687	0.436569021	-1.581856308	-0.326472498	0.312255702	-0.121179662
At4g12480	1.222128378	0.245565914	0.148181247	0.026634914	-0.947679618	-0.229573392	-0.032514592	-0.290537129
At4g21680	-3.257747219	0.130766788	-0.131239879	-0.586768546	-1.000692723	-0.338051118	0.934999282	0.68055478
At4g23100	-1.439329323	-0.073952797	-0.020496131	-0.136454797	-0.695602546	-0.129687808	0.385719792	0.209143639
At4g23150	0.722913896	-0.513974391	-0.078422391	-0.363773391	0.325968333	-0.299858051	-1.074981651	-0.684797417
At4g23630	-1.905292248	-0.283828479	0.034793521	0.296109521	0.008581496	0.043023997	-0.412604003	-0.439056314
At4g27070	-1.065615673	0.164835536	-0.101441131	0.332248869	-0.262161375	-0.041303308	-0.150670508	-0.580964576
At4g39330	1.650327905	-0.33375876	0.623581907	-0.105578427	0.699039209	0.39576683	1.14182063	0.522430872
At5g01600	0.032634338	-0.101641944	0.302190389	0.293085056	-0.143675109	-0.149818276	-0.420532676	-0.935036666
At5g02490	0.493191575	-0.39383609	-0.224752423	-0.018201756	0.120590286	-0.290762017	-0.495119017	-0.410748918
At5g07440	0.034459321	0.266227873	-0.110779127	-0.071776794	-0.154095785	-0.122770754	-0.876394954	-1.14729318
At5g20230	-0.381353408	-0.330315867	0.167400799	0.338560799	0.583720854	-0.262974286	-0.288907886	-1.3503693
At5g22570	0.174613928	-0.160565602	0.353208065	-0.001408935	0.534054798	0.191033853	-1.635112747	-2.645961695
At5g25610	0.435979118	-0.008075469	0.510579531	-0.154437135	0.300142186	0.454963667	0.662792267	0.272342396
At5g35590	0.282651545	-1.781445582	-0.025669249	0.592890418	-0.185480618	-1.109618517	-1.017750917	-0.855020417
At5g42650	-4.523956987	-2.295669907	0.394563093	-0.47417924	0.074001862	0.172782275	1.211630275	0.822332738
At5g44420	-0.723724955	0.393038235	-0.132115765	0.084007569	-0.334074149	-0.387209824	0.334509976	-0.091938305
At5g52310	1.283656239	-0.571853376	0.574181624	-0.244977376	0.174879496	0.415772801	0.816026201	0.002416449
At5g64120	1.109810035	-0.065265629	0.409758038	0.066234038	-0.063877155	-0.171102363	-0.871804763	-1.296263282
